Tarih;Sensor Adi;Sensor No;X Koordinati;Y Koordinati;ARAC TOPLAM
01.01.2023;TEM Karanfilköy;2;29.028617;41.092425;92118
01.01.2023;TEM Çakmak;4;29.122002;41.007104;177210
01.01.2023;TEM Küçükbakkalköy;5;29.106018;40.985743;135548
01.01.2023;Optimum AVM;6;29.084167;40.988017;139575
01.01.2023;D100 Göztepe;8;29.079106;40.990121;136481
01.01.2023;Çamlıca TEM-D100 Bağl. Yolu;10;29.072406;41.005797;81354
01.01.2023;TEM İstoç;22;28.821302;41.063408;198880
01.01.2023;D100 Yıldız Katılımı;25;29.011504;41.054534;40376
01.01.2023;D100 Şirinevler;28;28.853234;40.992102;91168
01.01.2023;D100 Küçükçekmece;33;28.767118;40.986035;121556
01.01.2023;D100 Ambarlı;41;28.690915;40.999795;110034
01.01.2023;Atışalanı;45;28.8551;41.0551;52354
01.01.2023;Bayrampaşa;54;28.908399;41.040315;165443
01.01.2023;TEM D100 Okmeydanı Bağl. Yolu;56;28.957666;41.060659;72308
01.01.2023;TEM Gazi Mah.;58;28.8930;41.0907;159609
01.01.2023;D100 15 Temmuz Şehitler Köprüsü Avrupa Girişi;60;29.024857;41.054074;178599
01.01.2023;D100 Kozyatağı;66;29.101450;40.970334;132907
01.01.2023;D100 Uzunçayır;69;29.061379;40.997181;117559
01.01.2023;"D100 Gülsuyu ";70;29.152522;40.924870;42997
01.01.2023;Kavacık;72;29.083395;41.091913;181225
01.01.2023;TEM Çakmak Köprüsü;73;29.121079;41.023801;182065
01.01.2023;D100 Maltepe;75;29.140497;40.934839;146795
01.01.2023;D100 Pendik;77;29.237210;40.889364;116619
01.01.2023;D100-Altunizade;80;29.045220;41.031445;152651
01.01.2023;Ümraniye;82;29.120264;41.052005;149524
01.01.2023;TEM Çakmak Köprüsü;83;29.120768;41.017684;173654
01.01.2023;D100 Hurriyet Tepesi;85;28.986117;41.066795;91148
01.01.2023;D100 Okmeydanı;86;28.958552;41.055276;107793
01.01.2023;B. Expres İs Bankası Karsısı;87;28.811005;41.032058;129690
01.01.2023;FSM Avrupa Girişi;90;29.047444;41.090744;183608
01.01.2023;FSM Anadolu Girişi;92;29.078949;41.092382;180461
01.01.2023;Kavacık Hisar Evleri;93;29.094684;41.082827;180925
01.01.2023;Ümraniye Kavşağı;95;29.121094;41.028942;145772
01.01.2023;TEM Ataşehir;97;29.136767;40.997117;162041
01.01.2023;Çamlıca Gişeler;98;29.166806;40.993660;146859
01.01.2023;Çamlıca Gişeler;99;29.180890;40.990655;144660
01.01.2023;TEM Kartal;100;29.189107;40.989811;108053
01.01.2023;D100 Acıbadem;104;29.044757;41.001772;92508
01.01.2023;D100 Küçükyalı;107;29.118563;40.952052;138953
01.01.2023;D100 Kartal Oto Sanayi;110;29.194666;40.911278;80461
01.01.2023;D100 Güzelyalı;113;29.278414;40.861352;112403
01.01.2023;Kadıköy Hasanpaşa;115;29.050968;40.995493;79154
01.01.2023;Şükrü Saraçoğlu Stadı;116;29.038589;40.989457;44201
01.01.2023;Küçükyalı Sahil Yolu;119;29.101353;40.947741;27121
01.01.2023;Kartal Sahil Yolu;121;29.167966;40.894727;34595
01.01.2023;Üsküdar Sahil Yolu;124;29.034033;41.039438;15190
01.01.2023;Altunizade Ümraniye Katılımı;127;" 29.04951";41.023083;30626
01.01.2023;Libadiye;128;29.069997;41.019906;84246
01.01.2023;Ümraniye Küçüksu;130;29.111478;41.029571;123554
01.01.2023;Şile Yolu;131;29.131909;41.029330;88674
01.01.2023;Kartal Gişeler Çıkışı;133;29.211463;40.976082;46038
01.01.2023;Yakacık Bağl. Yolu;135;29.212724;40.918948;58075
01.01.2023;Soğanlık Bağl. Yolu;136;29.213230;40.908326;61823
01.01.2023;Pendik Bağl. Yolu;137;29.325738;40.925830;37042
01.01.2023;TEM Firuzköy;142;28.720065;41.054702;135953
01.01.2023;M.Bey Gişeler;144;28.786671;41.063435;137300
01.01.2023;TEM Tekstilkent İstanbul Yönü;146;28.857442;41.066960;129420
01.01.2023;TEM Hasdal 1;149;28.971070;41.100005;142707
01.01.2023;TEM Hasdal 2;150;28.965636;41.099614;135443
01.01.2023;TEM Harp Akademileri;152;29.006446;41.100045;143873
01.01.2023;Beylikdüzü;156;28.638692;41.016302;117632
01.01.2023;Haramidere;157;28.669280;41.006358;150106
01.01.2023;D100 Sefaköy;162;28.807908;41.000700;112955
01.01.2023;Yenibosna;165;28.833543;40.992732;111671
01.01.2023;Bakırköy;168;28.869113;40.996824;127862
01.01.2023;Merter;169;28.887355;41.002503;119769
01.01.2023;Tozkoparan;172;28.90474;41.01233;116855
01.01.2023;Havuzlu Kavşak;177;28.831499;40.963781;46537
01.01.2023;Ataköy;179;28.865933;40.976046;59281
01.01.2023;Zeytinburnu Sahil;182;28.909626;40.985177;58240
01.01.2023;Samatya Sahil;185;28.932372;40.998139;67747
01.01.2023;Kumkapı Sahil;188;28.977573;41.002195;25383
